PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;59562;1353506;44205;1353507-1353506;3043;1353503-1353507;50174798;1387636-1353503
;;59566;59566;43859;43859-59566;20133;1270015-43859;50075677;1172709-1270015
;;59568;1194262;48188;1194261-1194262;3069;1353508-1194261;50174824;1387584-1353508
;;59584;59584;48160;48160-59584;2991;1381481-48160;50174750;1387732-1381481
;;59585;59585;48269;48269-59585;3254;3254-48269;50174883;1387466-3254
;;59588;59588;48261;48261-59588;3242;888945-48261;50174868;1387496-888945
;;59588;59588;48261;48261-59588;3241;888942-48261;50093660;1169931-888942
;;59598;1381444;48262;1381443-1381444;20136;1381454-1381443;50174581;1388064-1381454
;;59598;1381444;48262;1381443-1381444;3244;1381445-1381443;50174870;1387492-1381445
;;59598;1381444;48262;1381443-1381444;3244;1381445-1381443;50093663;1169930-1381445
;;59700;59700;44041;44041-59700;2783;1370958-44041;50075699;1172691-1370958
;;59734;1244781;47927;1243160-1244781;471964;1078332-1243160;50117200;1295524-1078332
;;59734;1244781;47927;1243160-1244781;41300;1088700-1243160;50024810;413223-1088700
;;59733;59733;53020;53020-59733;11893;1351180-53020;50020961;996112-1351180
;;59738;1135069;53064;1135068-1135069;12031;1135062-1135068;50021229;1178133-1135062
;;59758;1363070;53058;1363071-1363070;11997;1363073-1363071;50021172;1178130-1363073
;;60627;60627;42711;42711-60627;31527;1303274-42711;50015985;1112132-1303274
;;60627;60627;42711;42711-60627;4765;1303270-42711;50076699;1295804-1303270
;;59647;1232970;53045;1232956-1232970;11958;1332969-1232956;50021101;1134457-1332969
;;59648;59648;48266;48266-59648;3688;1381404-48266;50174987;1387258-1381404
;;59652;59652;48093;48093-59652;2776;1333513-48093;50174673;1387880-1333513
;;59659;59659;44492;44492-59659;11974;1381460-44492;50093489;1169739-1381460
;;59659;59659;44492;44492-59659;11975;1381457-44492;50021135;995851-1381457
;;59661;1095713;43142;1095697-1095713;41351;1095702-1095697;50024864;412721-1095702
;;59670;59670;42703;42703-59670;11698;1381428-42703;50020621;1199699-1381428
;;59689;59689;57649;57649-59689;31842;792509-57649;50174360;1388506-792509
;;59699;59699;57651;57651-59699;31845;31845-57651;50015708;1200258-31845
;;59812;59812;48370;48370-59812;3463;3463-48370;50174924;1387384-3463
;;59819;59819;49903;49903-59819;478572;1246108-49903;50175073;1387088-1246108
;;59834;1206958;43367;43367-1206958;2974;1246132-43367;50015728;1297261-1246132
;;59834;1206958;43367;43367-1206958;2974;1246132-43367;50174658;1387910-1246132
;;59834;1206958;43367;43367-1206958;2975;2975-43367;50174745;1387742-2975
;;59832;59832;48311;48311-59832;3328;1237680-48311;50174910;1387412-1237680
;;59831;59831;49896;49896-59831;478535;1249584-49896;50158366;1329080-1249584
;;59841;1374421;49892;1374420-1374421;478551;1374416-1374420;50152104;1329552-1374416
;;59776;1374392;49893;49893-1374392;478556;1374383-49893;50175070;1387094-1374383
;;59795;1206976;47084;1206975-1206976;478549;1346843-1206975;50152110;1329085-1346843
;;59795;1206976;47084;1206975-1206976;2976;2976-1206975;50093370;1169614-2976
;;59798;1200788;42693;1200787-1200788;2972;2972-1200787;50093366;1200334-2972
;;59946;740455;44451;1206982-740455;424237;1351006-1206982;50075635;1172539-1351006
;;59942;59942;55036;55036-59942;31680;31680-55036;50016356;1112282-31680
;;59963;59963;55034;55034-59963;31676;792719-55034;50174421;1388384-792719
;;462227;995671;462226;995669-995671;462228;1008107-995669;50175100;1387032-1008107
;;462346;998042;462345;998040-998042;462344;998039-998040;50175052;1387130-998039
;;462342;998031;462341;998029-998031;462340;998028-998029;50175054;1387126-998028
;;462342;998031;462341;998029-998031;462343;998035-998029;50175053;1387128-998035
;;415643;1270077;416173;663601-1270077;415462;844452-663601;50093257;1169583-844452
;;427797;911240;427796;911238-911240;427798;911244-911238;50174466;1388294-911244
;;427501;904199;427500;904197-904199;427499;904195-904197;50175023;1387186-904195
;;426955;1194324;427488;1194323-1194324;427487;904127-1194323;50175025;1387182-904127
;;65623;1297710;54261;1297709-1297710;13327;1297705-1297709;50167108;1386648-1297705
;;67062;730196;420247;1285574-730196;483883;1385798-1285574;50173303;1385797-1385798
;;69088;1219811;57475;1219810-1219811;38160;1219803-1219810;50063236;1215964-1219803
